NODES
1,54,10
2,202,106
3,300,164
4,408,292
5,524,382
6,551,366
7,610,408
8,666,444
9,692,462
10,776,505
11,900,576
12,994,629
13,1113,692
14,1235,760
16,1411,868
17,1474,796
18,1591,816
19,1662,838
20,1698,847
22,1647,604
21,1617,726
23,1670,488
24,1691,366
25,1589,338
26,1600,222
28,1630,4
29,1548,466
30,1531,578
31,1512,698
33,1485,72
34,1464,194
35,1440,302
36,1419,424
37,1402,542
38,1378,670
15,1328,814
27,1608,94
39,1256,648
40,1277,520
41,1302,394
42,1320,268
43,1346,166
44,1372,40
45,1240,10
46,1224,134
47,1198,244
48,1176,370
49,1155,488
50,1128,614
51,1029,462
52,1048,334
53,1076,216
54,1092,99
55,1126,2
57,974,187
58,946,313
59,922,430
60,798,408
61,826,293
62,827,222
63,848,170
64,876,37
56,995,76
EDGES
1,2
2,1
2,3
3,2
3,4
4,3
4,5
5,4
5,6
6,5
6,7
7,6
7,8
8,7
8,9
9,8
9,10
10,9
10,11
10,60
11,10
11,12
12,11
12,13
12,51
13,12
13,14
14,13
14,15
14,39
16,17
16,15
17,16
17,18
17,31
18,17
18,19
19,18
19,20
20,19
22,23
21,18
21,22
23,24
24,23
25,29
25,26
26,25
26,27
28,27
29,30
29,25
30,31
30,29
31,30
31,17
33,34
33,27
34,35
35,36
36,37
37,38
38,15
15,14
15,16
15,38
27,28
27,26
27,33
39,40
40,41
41,42
42,43
43,44
44,43
44,45
44,33
45,46
46,47
47,48
48,49
49,50
50,13
51,52
52,53
53,54
54,55
54,56
57,58
57,56
58,59
59,11
60,61
61,62
62,63
63,64
64,63
64,56
56,57
56,54
56,64
